Atributo pavadinimas,Kiekis (Eiluèiø sk.),"Trûkstamos reikðmës, %",Kardinalumas,Minimali reikðmë,Maksimali reikðmë,1-asis kvartilis,3-asis kvartilis,Vidurkis,Mediana,Standartinis nuokrypis
X_1,1000,1.6,47,2,52,6.0,37.0,25.381143430290873,25.0,15.582413173105815
X_2,1000,2.7,10,0,12.0,2.0,6.0,4.432296890672016,4.0,2.9374420398251875
X_3,1000,2.3,14,1,14.5,2.0,7.0,5.831494483450351,5.0,4.120817209807979
X_4,1000,12.1,15,0,14.5,2.0,7.0,4.914744232698094,5.0,3.5810228194021017
X_6,1000,1.7999999999999998,68,61.5,330,174.0,249.0,188.14894684052157,174.0,76.46122932679462
X_7,1000,1.7999999999999998,35,25.5,116,72.0,103.0,85.88916750250752,98.0,25.543196111917215
